,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year
890,Chile,Very High,Very High,Low,Low,11.74,30.95,37.93,20.25,58.34,35.2,2017.0
918,Niederlande,Very High,High,Very Low,Very Low,8.41,30.57,27.49,14.66,41.43,26.4,2017.0
1039,Katar,Very Low,Very Low,Very Low,Very Low,0.09,0.28,32.25,9.36,49.03,38.36,2017.0
1040,Vanuatu,Very High,Very High,High,High,56.71,99.88,56.78,35.32,84.36,50.66,2019.0
1041,Antigua und Barbuda,Very High,Very High,Medium,Medium,30.8,69.95,44.03,23.38,76.65,32.05,2019.0
1042,Tonga,Very High,Very High,Medium,Medium,29.39,61.41,47.86,28.19,79.92,35.47,2019.0
1043,Salomonen,Very High,Very High,High,Very High,29.36,48.31,60.77,46.37,80.95,55.0,2019.0
1044,Guyana,Very High,Very High,High,Medium,22.87,44.98,50.84,26.41,79.68,46.44,2019.0
1045,Papua-Neuguinea,Very High,Very High,Very High,Very High,22.18,32.54,68.18,55.45,86.21,62.88,2019.0
1046,Brunei Darussalam,Very High,Very High,Low,Very Low,21.68,57.62,37.62,15.26,67.14,30.45,2019.0
1047,Guatemala,Very High,Very High,High,High,20.69,38.56,53.65,32.19,83.96,44.8,2019.0
1048,Philippinen,Very High,Very High,High,High,20.69,41.93,49.34,28.86,80.98,38.17,2019.0
1049,Bangladesch,Very High,Very High,High,High,18.78,32.48,57.83,32.93,86.13,54.44,2019.0
1050,Kap Verde,Very High,Very High,Medium,High,18.02,38.26,47.1,31.13,67.63,42.54,2019.0
1051,Fidschi,Very High,Very High,Medium,Medium,17.83,38.43,46.41,21.54,78.76,38.93,2019.0
1052,Costa Rica,Very High,Very High,Low,Low,17.37,44.92,38.67,19.15,68.84,28.03,2019.0
1053,Dschibuti,Very High,Very High,High,High,16.46,27.04,60.87,39.36,84.39,58.87,2019.0
1054,Timor-Leste,Very High,Very High,High,Very High,16.39,27.92,58.71,46.43,78.84,50.85,2019.0
1056,Kambodscha,Very High,Very High,High,High,15.13,26.82,56.42,40.89,78.92,49.45,2019.0
1057,El Salvador,Very High,Very High,Medium,Medium,15.11,31.87,47.43,24.44,77.65,40.19,2019.0
1060,Nicaragua,Very High,Very High,High,High,13.78,25.95,53.11,30.35,82.88,46.11,2019.0
1065,Uruguay,Very High,Very High,Low,Low,12.52,36.03,34.76,18.82,56.57,28.88,2019.0
1066,Chile,Very High,Very High,Low,Low,12.45,34.32,36.29,17.87,62.77,28.22,2019.0
1069,Jamaika,Very High,Very High,Medium,Medium,11.91,26.18,45.51,24.6,74.7,37.22,2019.0
1093,Japan,Very High,High,Very Low,Low,9.19,38.94,23.6,16.8,39.9,14.11,2019.0
1116,Niederlande,Very High,Medium,Very Low,Very Low,7.35,31.73,23.15,14.2,41.53,13.71,2019.0
1220,Vanuatu,Very High,Very High,High,High,49.74,86.77,57.32,38.81,80.73,52.42,2020.0
1221,Tonga,Very High,Very High,High,High,29.72,61.21,48.56,28.76,79.85,37.08,2020.0
1222,Dominica,Very High,Very High,Medium,Medium,28.47,62.74,45.38,26.12,71.21,38.82,2020.0
1223,Antigua und Barbuda,Very High,Very High,Low,Medium,27.44,68.92,39.82,23.33,63.31,32.83,2020.0
1224,Salomonen,Very High,Very High,High,Very High,24.25,40.04,60.56,45.75,81.21,54.73,2020.0
1225,Guyana,Very High,Very High,High,Medium,22.73,44.92,50.6,27.13,77.55,47.13,2020.0
1226,Brunei Darussalam,Very High,Very High,Low,Very Low,22.3,57.61,38.7,14.75,67.99,33.35,2020.0
1227,Papua-Neuguinea,Very High,Very High,Very High,Very High,21.12,30.79,68.58,55.66,86.23,63.85,2020.0
1228,Philippinen,Very High,Very High,High,High,20.96,42.3,49.55,28.97,80.37,39.32,2020.0
1229,Guatemala,Very High,Very High,High,High,20.09,36.52,55.02,33.09,85.21,46.76,2020.0
1230,Kap Verde,Very High,Very High,Medium,High,17.73,37.23,47.61,29.35,72.84,40.65,2020.0
1231,Costa Rica,Very High,Very High,Low,Low,17.25,43.49,39.67,20.03,68.89,30.08,2020.0
1232,Bangladesch,Very High,Very High,High,High,16.4,28.28,57.98,33.21,85.81,54.91,2020.0
1233,Dschibuti,Very High,Very High,High,High,16.23,26.79,60.6,37.81,84.39,59.59,2020.0
1234,Fidschi,Very High,Very High,Medium,Medium,16.0,34.63,46.21,21.98,76.24,40.4,2020.0
1235,Kambodscha,Very High,Very High,High,High,15.76,26.8,58.82,38.94,86.94,50.57,2020.0
1236,El Salvador,Very High,Very High,High,Medium,15.33,31.69,48.39,24.67,78.05,42.44,2020.0
1237,Kiribati,Very High,Very High,High,High,14.94,26.05,57.36,39.27,82.77,50.04,2020.0
1246,Uruguay,Very High,Very High,Low,Low,12.54,36.29,34.56,19.23,53.85,30.6,2020.0
1248,Jamaika,Very High,Very High,Medium,Medium,12.08,26.05,46.39,25.14,74.52,39.5,2020.0
1249,Chile,Very High,Very High,Low,Low,12.05,33.41,36.07,17.83,62.35,28.02,2020.0
1265,Japan,Very High,High,Very Low,Low,9.64,38.67,24.93,17.76,39.2,17.83,2020.0
1284,Niederlande,Very High,High,Very Low,Very Low,7.89,31.72,24.87,14.8,42.63,17.19,2020.0
1401,Vanuatu,Very High,Very High,High,High,36.31,63.66,57.04,34.17,81.19,55.78,2012.0
1402,Tonga,Very High,Very High,Medium,Medium,28.62,55.27,51.78,27.91,81.31,46.11,2012.0
1403,Philippinen,Very High,Very High,Medium,High,27.98,52.46,53.35,33.92,83.09,43.03,2012.0
1404,Guatemala,Very High,Very High,High,High,20.75,36.3,57.16,37.28,81.18,53.04,2012.0
1405,Bangladesch,Very High,Very High,Very High,High,20.22,31.7,63.78,43.47,86.84,61.03,2012.0
1406,Salomonen,Very High,Very High,High,High,18.15,29.98,60.55,43.96,84.26,53.42,2012.0
1407,Costa Rica,Very High,Very High,Low,Low,17.38,42.61,40.8,21.59,65.63,35.19,2012.0
1408,Kambodscha,Very High,Very High,High,High,17.17,27.65,62.07,45.93,86.68,53.61,2012.0
1410,El Salvador,Very High,Very High,Medium,Medium,16.89,32.6,51.82,28.92,76.71,49.82,2012.0
1411,Brunei Darussalam,Very High,Very High,Low,Very Low,15.92,41.1,38.72,14.57,65.66,35.94,2012.0
1413,Mauritius,Very High,Very High,Low,Low,15.39,37.35,41.21,18.99,62.04,42.6,2012.0
1414,Nicaragua,Very High,Very High,High,High,15.36,27.23,56.43,38.41,82.68,48.21,2012.0
1415,Fidschi,Very High,Very High,Medium,Medium,13.69,27.71,49.4,26.19,75.32,46.67,2012.0
1416,Japan,Very High,Very High,Very Low,Very Low,13.53,45.91,29.46,16.52,36.31,35.56,2012.0
1419,Chile,Very High,Very High,Low,Low,12.26,30.95,39.6,20.95,57.84,40.01,2012.0
1451,Niederlande,Very High,High,Very Low,Very Low,8.49,30.57,27.76,13.89,39.14,30.26,2012.0
1573,Katar,Very Low,Very Low,Very Low,Very Low,0.1,0.28,36.18,9.61,55.4,43.54,2012.0
1574,Vanuatu,Very High,Very High,High,High,50.28,86.46,58.15,36.07,86.37,52.0,2018.0
1575,Tonga,Very High,Very High,High,High,29.42,55.92,52.61,28.93,80.06,48.82,2018.0
1576,Philippinen,Very High,Very High,High,High,25.14,49.94,50.33,29.58,81.57,39.83,2018.0
1577,Salomonen,Very High,Very High,High,Very High,23.29,37.81,61.59,47.28,82.3,55.19,2018.0
1578,Guyana,Very High,Very High,High,Medium,23.23,45.56,50.98,27.33,77.36,48.25,2018.0
1579,Papua-Neuguinea,Very High,Very High,Very High,Very High,20.88,31.05,67.24,55.58,83.8,62.35,2018.0
1580,Guatemala,Very High,Very High,High,High,20.6,38.5,53.5,32.98,81.35,46.17,2018.0
1581,Brunei Darussalam,Very High,Very High,Low,Very Low,18.82,52.71,35.71,14.8,61.5,30.83,2018.0
1582,Bangladesch,Very High,Very High,High,High,17.38,29.95,58.03,33.72,84.96,55.42,2018.0
1583,Fidschi,Very High,Very High,Medium,Medium,16.58,35.51,46.68,22.33,75.48,42.24,2018.0
1584,Costa Rica,Very High,Very High,Low,Low,16.56,44.27,37.41,20.42,62.19,29.61,2018.0
1585,Kambodscha,Very High,Very High,High,High,16.07,27.13,59.22,40.97,86.03,50.67,2018.0
1586,Timor-Leste,Very High,Very High,High,High,16.05,26.96,59.56,45.22,78.69,54.76,2018.0
1587,El Salvador,Very High,Very High,Medium,Medium,15.95,33.46,47.65,25.63,75.86,41.46,2018.0
1588,Kiribati,Very High,Very High,High,High,15.42,26.37,58.47,41.64,82.61,51.15,2018.0
1589,Mauritius,Very High,Very High,Low,Low,14.27,37.22,38.35,17.69,59.26,38.09,2018.0
1590,Nicaragua,Very High,Very High,High,High,13.99,26.27,53.25,31.45,80.21,48.11,2018.0
1601,Chile,Very High,Very High,Low,Low,11.15,31.84,35.02,18.7,59.01,27.37,2018.0
1602,Japan,Very High,Very High,Very Low,Low,11.08,46.55,23.81,17.6,38.39,15.43,2018.0
1638,Niederlande,Very High,High,Very Low,Very Low,7.45,31.86,23.39,15.07,40.89,14.2,2018.0
1746,Vanuatu,Very High,Very High,High,High,36.28,63.66,56.99,34.9,81.16,54.9,2016.0
1747,Tonga,Very High,Very High,High,Medium,29.33,55.27,53.08,28.66,81.8,48.76,2016.0
1748,Philippines,Very High,Very High,High,High,26.7,52.46,50.9,31.83,80.92,39.96,2016.0
1749,Guatemala,Very High,Very High,High,High,19.88,36.3,54.76,35.82,81.0,47.46,2016.0
1750,Bangladesh,Very High,Very High,High,High,19.17,31.7,60.48,38.23,86.36,56.84,2016.0
1751,Solomon Islands,Very High,Very High,Very High,High,19.14,29.98,63.83,44.01,85.56,61.9,2016.0
1752,Brunei Darussalam,Very High,Very High,Low,Low,17.0,41.1,41.36,17.4,63.17,43.53,2016.0
1753,Costa Rica,Very High,Very High,Low,Low,17.0,42.61,39.89,21.32,63.78,34.57,2016.0
1754,Cambodia,Very High,Very High,High,High,16.58,27.65,59.96,37.55,86.84,55.49,2016.0
1756,El Salvador,Very High,Very High,Medium,Medium,16.05,32.6,49.25,27.84,74.78,45.14,2016.0
1758,Mauritius,Very High,Very High,Low,Low,15.53,37.35,41.58,18.02,61.59,45.14,2016.0
1759,Nicaragua,Very High,Very High,High,High,14.62,27.23,53.69,33.67,80.7,46.71,2016.0
1761,Fiji,Very High,Very High,Medium,Medium,13.15,27.71,47.47,24.18,74.69,43.55,2016.0
1762,Japan,Very High,Very High,Very Low,Low,12.99,45.91,28.29,17.82,38.04,29.0,2016.0
1767,Chile,Very High,Very High,Low,Low,11.65,30.95,37.66,19.67,58.61,34.7,2016.0
1794,Netherlands,Very High,High,Very Low,Very Low,8.24,30.57,26.94,15.46,41.23,24.14,2016.0
1858,Korea Republic of 4.59,Very High,Very High,Very Low,High,14.89,30.82,14.31,46.55,31.59,-35.213013267894404,2016.0
1916,Qatar,Very Low,Very Low,Very Low,Very Low,0.08,0.28,28.18,9.68,43.94,30.93,2016.0
